2.4048,5.5201,8.6537,11.792,14.931,18.071,21.212,24.352,27.493,30.635,33.776,36.917,40.058,43.2,46.341,49.483,52.624,55.766,58.907,62.048,65.19,68.331,71.473,74.615,77.756,80.898,84.039,87.181,90.322,93.464,96.605,99.747,102.89,106.03,109.17,112.31,115.45,118.6,121.74,124.88,128.02,131.16,134.3,137.45,140.59,143.73,146.87,150.01,153.15,156.3,159.44,162.58,165.72,168.86,172,175.14,178.29,181.43,184.57,187.71,190.85,193.99,197.14,200.28,203.42,206.56,209.7,212.84,215.99,219.13,222.27,225.41,228.55,231.69,234.83,237.98,241.12,244.26,247.4,250.54,253.68,256.83,259.97,263.11,266.25,269.39,272.53,275.68,278.82,281.96,285.1,288.24,291.38,294.52,297.67,300.81,303.95,307.09,310.23,313.37
3.8317,7.0156,10.173,13.324,16.471,19.616,22.76,25.904,29.047,32.19,35.332,38.475,41.617,44.759,47.901,51.044,54.186,57.328,60.469,63.611,66.753,69.895,73.037,76.179,79.32,82.462,85.604,88.746,91.888,95.029,98.171,101.31,104.45,107.6,110.74,113.88,117.02,120.16,123.3,126.45,129.59,132.73,135.87,139.01,142.15,145.3,148.44,151.58,154.72,157.86,161,164.15,167.29,170.43,173.57,176.71,179.85,183,186.14,189.28,192.42,195.56,198.7,201.85,204.99,208.13,211.27,214.41,217.55,220.7,223.84,226.98,230.12,233.26,236.4,239.54,242.69,245.83,248.97,252.11,255.25,258.39,261.54,264.68,267.82,270.96,274.1,277.24,280.39,283.53,286.67,289.81,292.95,296.09,299.24,302.38,305.52,308.66,311.8,314.94
5.1356,8.4172,11.62,14.796,17.96,21.117,24.27,27.421,30.569,33.717,36.863,40.008,43.153,46.298,49.442,52.586,55.73,58.873,62.016,65.159,68.302,71.445,74.588,77.73,80.873,84.015,87.158,90.3,93.442,96.585,99.727,102.87,106.01,109.15,112.3,115.44,118.58,121.72,124.86,128.01,131.15,134.29,137.43,140.57,143.71,146.86,150,153.14,156.28,159.42,162.57,165.71,168.85,171.99,175.13,178.27,181.42,184.56,187.7,190.84,193.98,197.13,200.27,203.41,206.55,209.69,212.83,215.98,219.12,222.26,225.4,228.54,231.68,234.83,237.97,241.11,244.25,247.39,250.53,253.68,256.82,259.96,263.1,266.24,269.38,272.53,275.67,278.81,281.95,285.09,288.23,291.38,294.52,297.66,300.8,303.94,307.08,310.23,313.37,316.51
6.3802,9.761,13.015,16.223,19.409,22.583,25.748,28.908,32.065,35.219,38.37,41.521,44.67,47.818,50.965,54.112,57.258,60.403,63.548,66.693,69.838,72.982,76.126,79.27,82.414,85.557,88.701,91.844,94.987,98.13,101.27,104.42,107.56,110.7,113.84,116.99,120.13,123.27,126.41,129.56,132.7,135.84,138.98,142.13,145.27,148.41,151.55,154.7,157.84,160.98,164.12,167.26,170.41,173.55,176.69,179.83,182.97,186.12,189.26,192.4,195.54,198.68,201.83,204.97,208.11,211.25,214.39,217.54,220.68,223.82,226.96,230.1,233.24,236.39,239.53,242.67,245.81,248.95,252.1,255.24,258.38,261.52,264.66,267.8,270.95,274.09,277.23,280.37,283.51,286.66,289.8,292.94,296.08,299.22,302.36,305.51,308.65,311.79,314.93,318.07
7.5883,11.065,14.373,17.616,20.827,24.019,27.199,30.371,33.537,36.699,39.858,43.014,46.168,49.32,52.472,55.622,58.771,61.919,65.067,68.214,71.361,74.507,77.653,80.799,83.944,87.089,90.234,93.378,96.522,99.667,102.81,105.95,109.1,112.24,115.39,118.53,121.67,124.82,127.96,131.1,134.24,137.39,140.53,143.67,146.82,149.96,153.1,156.24,159.39,162.53,165.67,168.81,171.96,175.1,178.24,181.38,184.53,187.67,190.81,193.95,197.09,200.24,203.38,206.52,209.66,212.81,215.95,219.09,222.23,225.37,228.52,231.66,234.8,237.94,241.08,244.23,247.37,250.51,253.65,256.79,259.94,263.08,266.22,269.36,272.5,275.65,278.79,281.93,285.07,288.21,291.36,294.5,297.64,300.78,303.92,307.07,310.21,313.35,316.49,319.63
8.7715,12.339,15.7,18.98,22.218,25.43,28.627,31.812,34.989,38.16,41.326,44.489,47.649,50.807,53.963,57.117,60.27,63.422,66.573,69.723,72.872,76.021,79.169,82.316,85.464,88.61,91.757,94.903,98.049,101.19,104.34,107.48,110.63,113.77,116.92,120.06,123.21,126.35,129.5,132.64,135.78,138.93,142.07,145.21,148.36,151.5,154.64,157.79,160.93,164.07,167.22,170.36,173.5,176.64,179.79,182.93,186.07,189.22,192.36,195.5,198.64,201.79,204.93,208.07,211.21,214.36,217.5,220.64,223.78,226.93,230.07,233.21,236.35,239.49,242.64,245.78,248.92,252.06,255.21,258.35,261.49,264.63,267.77,270.92,274.06,277.2,280.34,283.49,286.63,289.77,292.91,296.05,299.2,302.34,305.48,308.62,311.76,314.91,318.05,321.19
9.9361,13.589,17.004,20.321,23.586,26.82,30.034,33.233,36.422,39.603,42.778,45.949,49.116,52.279,55.441,58.6,61.757,64.913,68.067,71.22,74.372,77.524,80.674,83.824,86.974,90.122,93.271,96.419,99.566,102.71,105.86,109.01,112.15,115.3,118.44,121.59,124.73,127.88,131.03,134.17,137.31,140.46,143.6,146.75,149.89,153.04,156.18,159.32,162.47,165.61,168.75,171.9,175.04,178.19,181.33,184.47,187.61,190.76,193.9,197.04,200.19,203.33,206.47,209.62,212.76,215.9,219.04,222.19,225.33,228.47,231.62,234.76,237.9,241.04,244.19,247.33,250.47,253.61,256.76,259.9,263.04,266.18,269.33,272.47,275.61,278.75,281.89,285.04,288.18,291.32,294.46,297.61,300.75,303.89,307.03,310.17,313.32,316.46,319.6,322.74
11.086,14.821,18.288,21.642,24.935,28.191,31.423,34.637,37.839,41.031,44.215,47.394,50.568,53.738,56.905,60.069,63.231,66.391,69.55,72.707,75.862,79.017,82.17,85.323,88.474,91.625,94.776,97.926,101.08,104.22,107.37,110.52,113.67,116.82,119.96,123.11,126.26,129.4,132.55,135.69,138.84,141.99,145.13,148.28,151.42,154.57,157.71,160.86,164,167.14,170.29,173.43,176.58,179.72,182.86,186.01,189.15,192.3,195.44,198.58,201.73,204.87,208.01,211.16,214.3,217.44,220.59,223.73,226.87,230.02,233.16,236.3,239.44,242.59,245.73,248.87,252.02,255.16,258.3,261.44,264.59,267.73,270.87,274.01,277.16,280.3,283.44,286.59,289.73,292.87,296.01,299.16,302.3,305.44,308.58,311.72,314.87,318.01,321.15,324.29
12.225,16.038,19.555,22.945,26.267,29.546,32.796,36.026,39.24,42.444,45.638,48.826,52.008,55.185,58.358,61.528,64.695,67.859,71.022,74.183,77.342,80.5,83.656,86.812,89.966,93.12,96.273,99.425,102.58,105.73,108.88,112.03,115.18,118.33,121.47,124.62,127.77,130.92,134.07,137.21,140.36,143.51,146.65,149.8,152.94,156.09,159.24,162.38,165.53,168.67,171.82,174.96,178.11,181.25,184.4,187.54,190.68,193.83,196.97,200.12,203.26,206.41,209.55,212.69,215.84,218.98,222.12,225.27,228.41,231.55,234.7,237.84,240.98,244.13,247.27,250.41,253.56,256.7,259.84,262.99,266.13,269.27,272.42,275.56,278.7,281.84,284.99,288.13,291.27,294.42,297.56,300.7,303.84,306.99,310.13,313.27,316.41,319.56,322.7,325.84
13.354,17.241,20.807,24.234,27.584,30.885,34.154,37.4,40.629,43.844,47.049,50.245,53.435,56.62,59.799,62.975,66.148,69.317,72.484,75.649,78.812,81.974,85.134,88.292,91.45,94.606,97.762,100.92,104.07,107.22,110.38,113.53,116.68,119.83,122.98,126.13,129.28,132.43,135.58,138.72,141.87,145.02,148.17,151.31,154.46,157.61,160.76,163.9,167.05,170.19,173.34,176.49,179.63,182.78,185.92,189.07,192.21,195.36,198.5,201.65,204.79,207.94,211.08,214.23,217.37,220.51,223.66,226.8,229.95,233.09,236.23,239.38,242.52,245.67,248.81,251.95,255.1,258.24,261.38,264.53,267.67,270.81,273.96,277.1,280.24,283.39,286.53,289.67,292.82,295.96,299.1,302.24,305.39,308.53,311.67,314.82,317.96,321.1,324.24,327.39
